prediction,probab_0,probab_1,text
1,-0.4168056547641754,-0.1994108408689499,"simplistic , silly and tedious ."
1,-0.8549326062202454,0.2416541576385498,"it's so laddish and juvenile , only teenage boys could possibly find it funny ."
1,-1.3891234397888184,0.8646023869514465,exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .
1,-1.0207016468048096,1.0321495532989502,"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation ."
1,-0.7949219346046448,0.3529740869998932,a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .
1,-1.532001256942749,1.0783884525299072,"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count ."
1,-1.4642064571380615,1.3419134616851807,about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time .
1,-1.6045379638671875,1.1769664287567139,not so much farcical as sour .
1,-0.995148241519928,0.861556887626648,unfortunately the story and the actors are served with a hack script .
1,-1.3435450792312622,1.5115666389465332,"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject ."
1,-0.8127391934394836,-0.20490504801273346,a sentimental mess that never rings true .
1,-0.9699731469154358,0.6361063718795776,"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary ."
0,0.9869857430458069,-1.3322298526763916,"interesting , but not compelling ."
1,-1.7966686487197876,1.4251176118850708,"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire ."
1,-0.8130192160606384,0.49743980169296265,"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle ."
1,-1.005497932434082,-0.039140839129686356,there is a difference between movies with the courage to go over the top and movies that don't care about being stupid
1,-1.581139326095581,1.0479018688201904,"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah ."
0,-0.16687658429145813,-0.4219712018966675,"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us "" the skulls "" and last year's "" rollerball . "" enough said , except : film overboard !"
1,-1.4638590812683105,0.9800114631652832,"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha ."
1,-1.4553955793380737,0.9562166333198547,this 100-minute movie only has about 25 minutes of decent material .
1,-0.43480774760246277,-0.13138000667095184,the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl .
0,-0.03925873711705208,-0.16875359416007996,"on its own , it's not very interesting . as a remake , it's a pale imitation ."
1,-0.8612893223762512,0.3808479905128479,it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action .
0,-0.26052483916282654,-0.729913055896759,"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films ."
1,-0.4530106484889984,-0.32596728205680847,"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma ."
1,-0.9875307679176331,0.5049299001693726,the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville .
1,-1.3482530117034912,0.9472997784614563,our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender ó and i know this because i've seen 'jackass : the movie . '
1,-1.5159860849380493,1.3210676908493042,"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . ."
1,-1.2798688411712646,0.8498942255973816,"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here ."
1,-1.5333797931671143,1.3253660202026367,"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's "" waking up in reno . "" go back to sleep ."
0,0.1510283350944519,-0.6941507458686829,"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates ."
1,-1.5945420265197754,1.6025400161743164,the action clichÈs just pile up .
1,-0.9223254323005676,0.7474821209907532,"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast ."
1,-0.3302532434463501,0.019072096794843674,the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear .
1,-1.242966651916504,0.9558655023574829,another useless recycling of a brutal mid-'70s american sports movie .
1,-1.1645481586456299,0.46920931339263916,i didn't laugh . i didn't smile . i survived .
1,-0.5080516934394836,-0.24775411188602448,"please , someone , stop eric schaeffer before he makes another film ."
1,-1.4981976747512817,0.8783363103866577,"most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved"
1,-1.4017881155014038,0.9823691844940186,". . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee ."
0,0.552808940410614,-1.221191167831421,curling may be a unique sport but men with brooms is distinctly ordinary .
1,-1.4490196704864502,0.784472644329071,"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set ."
1,-1.272630214691162,1.0662333965301514,there's no getting around the fact that this is revenge of the nerds revisited -- again .
0,-0.28229355812072754,-0.6195812821388245,"the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable ."
1,-1.065300703048706,0.764544665813446,"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in ."
1,-1.5521316528320312,1.2337664365768433,"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins ."
1,-1.653830647468567,1.362306833267212,"stinks from start to finish , like a wet burlap sack of gloom ."
1,-1.1332364082336426,0.9824858903884888,"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement ."
1,-1.335505485534668,1.2496224641799927,equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 .
1,-0.7338894009590149,0.15934881567955017,the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition . 
1,-1.2400202751159668,0.6229143738746643,everything is off .
0,0.2918032705783844,-0.6044240593910217,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal ."
0,1.1683698892593384,-1.8242594003677368,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth ."
1,-1.3162885904312134,1.076149582862854,effective but too-tepid biopic
0,0.8256311416625977,-1.7839595079421997,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start ."
0,0.3315596282482147,-0.7490396499633789,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one ."
0,1.1342763900756836,-1.685253620147705,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .
0,1.2751009464263916,-1.9272468090057373,offers that rare combination of entertainment and education .
1,-0.8148462176322937,-0.48847320675849915,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .
1,-0.35808536410331726,0.17743757367134094,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .
0,1.5481276512145996,-1.9757106304168701,take care of my cat offers a refreshingly different slice of asian cinema .
0,1.4934992790222168,-2.1294214725494385,"this is a film well worth seeing , talking and singing heads and all ."
0,1.4044580459594727,-1.8606698513031006,what really surprises about wisegirls is its low-key quality and genuine tenderness .
0,-0.47575244307518005,-0.6945276856422424,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind ."
0,1.1910758018493652,-1.8400547504425049,"one of the greatest family-oriented , fantasy-adventure movies ever ."
1,-0.7204534411430359,0.4188295900821686,"ultimately , it ponders the reasons we need stories so much ."
0,1.2758642435073853,-1.9865076541900635,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .
1,-0.8089087605476379,0.3541056215763092,illuminating if overly talky documentary .
0,1.4297668933868408,-2.020886182785034,a masterpiece four years in the making .
1,-0.30481305718421936,-0.08881448209285736,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries ."
0,0.773623526096344,-1.5349832773208618,offers a breath of the fresh air of true sophistication .
0,1.614696741104126,-2.0462188720703125,"a thoughtful , provocative , insistently humanizing film ."
0,0.7988446354866028,-1.4257361888885498,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives ."
