prediction,probab_0,probab_1,text1,text2
0,-0.15658853948116302,-0.5518435835838318,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.
1,-0.7141785621643066,0.44010138511657715,This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.
1,-0.5443848371505737,-0.14085650444030762,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is very happy.
1,-0.853688657283783,0.3609350323677063,"A woman with a green headscarf, blue shirt and a very big grin.",The woman has been shot.
0,-0.1576838344335556,-0.655538022518158,An old man with a package poses in front of an advertisement.,A man poses in front of an ad.
1,-0.7756702899932861,0.05200802534818649,An old man with a package poses in front of an advertisement.,A man walks by an ad.
0,-0.3188333511352539,-0.5867138504981995,A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.
1,-0.6365192532539368,-0.16010332107543945,A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.
0,-0.07233728468418121,-0.7402237057685852,A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.
1,-0.3211575150489807,-0.2366461455821991,A land rover is being driven across a river.,A vehicle is crossing a river.
1,-0.7106475234031677,0.34633103013038635,A land rover is being driven across a river.,A sedan is stuck in the middle of a river.
0,-0.35009247064590454,-0.4651066064834595,A man playing an electric guitar on stage.,A man playing banjo on the floor.
0,-0.11123935878276825,-0.7621946334838867,A man playing an electric guitar on stage.,A man playing guitar on stage.
1,-0.9289851188659668,0.16849729418754578,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book
1,-0.8201872706413269,1.3525182008743286,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j
1,-0.501325249671936,0.2928815186023712,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall
0,-0.046135470271110535,-0.7834460735321045,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object
1,-0.798941433429718,0.352230429649353,A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.
1,-0.4691312313079834,-0.381089448928833,A young family enjoys feeling ocean waves lap at their feet.,A family is at the beach.
0,-0.38854992389678955,-0.5452243685722351,A couple walk hand in hand down a street.,A couple is walking together.
1,-0.734406054019928,-0.2528648376464844,A couple walk hand in hand down a street.,A couple is sitting on a bench.
